short_sma,long_sma,n_stocks,n_runs,median_xirr,mean_xirr,std_xirr,p25_xirr,p75_xirr,median_return,mean_return,median_drawdown,mean_drawdown,mean_sharpe,pct_profitable
50,150,15,1000,28.23654044173319,47.00404085281894,97.82867437345836,-1.3439279166057,68.12205402479384,28.767621105216868,48.26020660330652,31.821153845001856,32.57809326984245,0.8998670168156816,73.4
50,150,25,1000,34.2176532312907,46.145686788802124,81.89542120018557,-0.2681843109559684,70.72068394185216,34.712829881177925,47.26898124931141,29.052360410563494,29.935448978935067,1.051056780430787,74.8
60,100,15,1000,29.686116651591266,48.20571321822094,89.6791434714835,-6.941885749036192,75.49606825672342,30.24632444101443,49.70445080704322,34.13402300646894,35.483624678130845,0.7983556665857309,69.19999999999999
60,100,25,1000,38.10144798163334,51.79094170671596,84.3412021159617,-1.788445103757913,80.84536292108002,38.97221356902503,53.18362389092991,30.20052945071021,31.83073610317432,0.9204308680782392,72.5
60,110,15,1000,25.93361488629009,45.974210756540344,103.89494671388125,-6.729413436881043,67.21217369404165,26.35195363080873,47.28637097459341,33.858384226092,35.84281037135034,0.7361632213992582,68.7
60,110,25,1000,32.248922724317,48.79537851434654,88.81649403947019,-2.8940937699835576,71.11790905908938,32.80802822262629,50.139268825560116,30.036332473648745,31.05375909340409,0.9054022482120105,72.3
60,120,15,1000,28.875655876083663,50.47330295267333,121.03891888435622,-5.209842612125712,69.42153067365066,29.27548510292847,52.12109144906536,33.11578595932663,35.37152807261224,0.7781989917825382,69.6
60,120,25,1000,37.90692438158657,50.33449124549431,74.0047508177887,-0.6622200295685277,78.4873313345438,38.18641159188077,51.772523158503624,30.084437311010195,31.124703826932876,0.9275729184296412,74.6
60,130,15,1000,33.173215304749846,79.10459537186398,196.55485564940105,-4.5107784165211795,73.30028780817469,33.514212973486025,83.03324039826245,34.4766404509414,35.19850052925444,0.8672799894179097,71.7
60,130,25,1000,37.68725639296064,63.24313154092243,123.7183241950709,0.8747425356569194,78.88975714619392,38.291790841916836,65.53492328637556,31.293677761272086,32.54623434130156,0.9302537819284327,75.4
60,140,15,1000,34.046166689652004,75.6069305428527,164.5166238561879,-1.8755245240744123,78.24992630996265,34.78675945080066,78.15496698949602,31.32234603722499,31.746528110444288,0.8820882883568845,73.3
60,140,25,1000,37.47227011938408,68.58842981168317,129.4220175560383,2.049384399913273,78.90832495653466,37.98335145951963,70.66368277806264,28.466085567875318,29.334127576730573,1.0180542109378532,77.10000000000001
60,150,15,1000,29.56616844916239,46.787662128065875,93.09983139430511,-4.437948451094659,70.56941429569459,30.143691907049828,48.13828338876538,32.23072787304254,33.088083704213496,0.803612176844687,71.7
60,150,25,1000,31.741293953105433,46.02839412047065,90.61694553996215,-0.16130053314712123,68.3449394966664,32.14599400202049,47.298598977628544,29.847740858005643,30.7344216939096,0.9031245666025345,74.8
70,100,15,1000,27.56116812942566,54.97661601322419,151.26030139786,-11.375715825275554,69.00256275959069,28.065422471995305,57.12404560356349,35.01130610240405,36.83972789340343,0.6136326690834824,66.10000000000001
70,100,25,1000,28.57843186221718,45.29832060723115,94.16854438059589,-7.566249488424051,64.80073945825927,29.13062193058696,46.6411349646148,32.10588552517186,32.8959764801528,0.7281520847268963,68.0
70,110,15,1000,25.449825484123267,46.41802528353533,130.6874549635828,-8.201662292474095,63.34264523968139,25.829267244783814,48.33665970495439,35.126594698050354,36.46432700250612,0.6807874121418694,68.7
70,110,25,1000,33.09869848923077,45.79926734973227,80.10179860771524,-2.353878464264511,69.56909991500393,33.63349371408913,47.06786620912283,31.700469879130704,31.990232651494043,0.8038813899039904,72.1
70,120,15,1000,27.96544902749407,42.36940491513844,102.34442862182577,-5.286488113818588,68.91101980691633,28.455984744216153,43.631833375317115,34.574716571312024,35.313683001436075,0.7680373171042191,70.0
70,120,25,1000,30.700657791851825,42.117004539174786,75.65311278301431,-2.7290203139552576,63.917085840967744,31.036823763204186,43.39476891201565,30.854073039459124,32.435057650385325,0.8511863606978838,71.89999999999999
70,130,15,1000,28.438522163023215,44.62583821000603,85.15883683522792,-3.9483692055421904,65.38447402361268,28.90593173225824,45.93084072596861,32.96417154481724,34.574546099425575,0.8476402523832057,71.0
70,130,25,1000,31.397241246185235,42.30940646433415,74.0130138153189,-2.2641164177981787,63.53245186131578,31.844696025457246,43.395241486770104,30.622661448951057,31.81399060806667,0.8944342655184628,73.1
70,140,15,1000,29.463949100742038,48.42235543534472,99.80290542761362,-5.331429609480587,68.0091172294718,29.91677380442534,49.91235209122337,33.760229799405046,35.57606241283618,0.7210781495586663,71.6
