date,symbol,action,qty,price,execution_price,cost,portfolio_value
2009-03-17,INDIANB.NS,SELL,5185,48.871735441025706,48.871735441025706,279.2571446348194,578997.4015385334
2009-03-17,GTL.NS,BUY,1092,231.58315934489724,231.58315934489724,300.72930352606323,577826.735826571
2009-04-15,UNIONBANK.NS,SELL,193,108.801214236204,108.801214236204,37.75127684678846,653240.4975255654
2009-04-15,SANOFI.NS,BUY,66,614.9128354903502,614.9128354903502,48.2618126797668,652993.2169640773
2009-05-18,REMSONSIND.NS,SELL,2448,2.7918386459350586,2.7918386459350586,23.03216628255066,743189.9181008647
2009-05-19,GFLLIMITED.NS,BUY,10394,2.617899932093551,2.617899932093551,32.358016341713835,716498.149869725
2009-05-26,GULFPETRO.NS,SELL,1227,10.341652971054458,10.341652971054458,29.116320615750094,741302.750626162
2009-05-26,JINDALPOLY.NS,BUY,97,129.84921429587487,129.84921429587487,14.978116218172596,741016.1357914202
2009-06-30,XCHANGING.NS,SELL,350,48.93743909668096,48.93743909668096,33.72911427375638,772313.0809366989
2009-06-30,DISHTV.NS,BUY,947,39.14113379906122,39.14113379906122,44.0787749895209,771145.7713131903
2009-07-20,TATACOMM.NS,SELL,413,240.9216652577533,240.9216652577533,119.32868512776301,800152.3673522854
2009-07-20,ALKALI.NS,BUY,668,178.38058189109518,178.38058189109518,141.70010577641793,797844.153997359
2009-09-08,GOLD1.NS,SELL,6185,15.612500190734863,15.612500190734863,116.27627805641086,917824.584980388
2009-09-08,JAICORPLTD.NS,BUY,653,208.7112294145901,208.7112294145901,162.07093337256197,914515.6358352355
2009-10-22,GFLLIMITED.NS,SELL,10394,5.095545338413506,5.095545338413506,70.96798058441286,898270.9649146057
2009-10-22,JPPOWER.NS,BUY,962,75.7249984741211,75.7249984741211,86.62843745561389,897102.0864771501
2009-11-05,ALKALI.NS,SELL,668,100.7760213173886,100.7760213173886,85.88564718265044,841505.9180156618
2009-11-06,PVP.NS,BUY,2459,35.45000076293945,35.45000076293945,103.6623173737752,855359.5977774506
2009-12-02,JAICORPLTD.NS,SELL,653,183.9501829675904,183.9501829675904,140.75526981410027,918444.3218521875
2009-12-04,DISHTV.NS,SELL,947,43.02065262282849,43.02065262282849,58.26661013535146,932990.525343284
